,Date,Revenue,Expenses,Forecast_Revenue,Forecast_Expenses
0,2024-06-30,85777.0,14326.0,85776.40312393865,14326.075752741686
1,2024-09-30,94930.0,14288.0,94929.01141275904,14288.02557682389
2,2024-12-31,124300.0,15443.0,124299.61899186097,15443.20741056265
3,2025-03-31,95359.0,15278.0,95359.46819404092,15278.011792299549
4,2025-06-30,94036.0,15516.0,94035.42345381151,15516.073106243188
